geoid,tvdma
17011,"Davenport - Rock Island - Moline, IA - IL DMA"
39145,"Charleston - Huntington, WV - KY - OH DMA"
37115,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
16053,"Twin Falls, ID DMA"
39163,"Charleston - Huntington, WV - KY - OH DMA"
48309,"Waco - Temple - Bryan, TX DMA"
16037,"Idaho Falls - Pocatello, ID - WY DMA"
19089,"Rochester - Mason City - Austin, MN - IA DMA"
12099,"West Palm Beach - Ft. Pierce, FL DMA"
13181,"Augusta, GA - SC DMA"
01013,"Montgomery, AL DMA"
47165,"Nashville, TN - KY DMA"
51097,"Richmond - Petersburg, VA DMA"
05015,"Springfield, MO - AR DMA"
51820,"Richmond - Petersburg, VA DMA"
02220,"Unmeasured, AK DMA"
41051,"Portland, OR - WA DMA"
47061,"Chattanooga, TN - GA - NC DMA"
27057,"Minneapolis - St. Paul, MN - WI DMA"
38081,"Fargo - Valley City, ND - MN DMA"
36089,"Watertown, NY DMA"
29179,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
06067,"Sacramento - Stockton - Modesto, CA DMA"
39125,"Ft. Wayne, IN - OH DMA"
18179,"Ft. Wayne, IN - OH DMA"
51063,"Roanoke - Lynchburg, VA - WV DMA"
06083,"Santa Barbara - Santa Maria - San Luis Obispo, CA DMA"
54005,"Charleston - Huntington, WV - KY - OH DMA"
28009,"Memphis, TN - AR- MS - MO DMA"
21055,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
19147,"Sioux City, IA - NE - SD DMA"
19159,"Des Moines - Ames, IA - MO DMA"
37151,"Greensboro - H.Point - W.Salem, NC - VA DMA"
24015,"Baltimore, MD DMA"
18171,"Lafayette, IN DMA"
31077,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
31095,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
31151,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
21119,"Lexington, KY DMA"
19045,"Davenport - Rock Island - Moline, IA - IL DMA"
27063,"Minneapolis - St. Paul, MN - WI DMA"
27039,"Rochester - Mason City - Austin, MN - IA DMA"
27047,"Rochester - Mason City - Austin, MN - IA DMA"
06009,"Sacramento - Stockton - Modesto, CA DMA"
25001,"Boston, MA - NH DMA"
51119,"Richmond - Petersburg, VA DMA"
42065,"Johnstown - Altoona, PA DMA"
18089,"Chicago, IL - IN DMA"
47003,"Nashville, TN - KY DMA"
47027,"Nashville, TN - KY DMA"
17029,"Champaign - Springfield - Decatur, IL DMA"
47097,"Memphis, TN - AR- MS - MO DMA"
41001,"Portland, OR - WA DMA"
36097,"Elmira, NY - PA DMA"
26159,"Grand Rapids - Kalamazoo - Battle Creek, MI DMA"
17131,"Davenport - Rock Island - Moline, IA - IL DMA"
21127,"Charleston - Huntington, WV - KY - OH DMA"
21175,"Lexington, KY DMA"
21177,"Evansville, IN - IL - KY DMA"
17049,"Champaign - Springfield - Decatur, IL DMA"
47105,"Knoxville, TN - KY DMA"
46025,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
15003,"Honolulu, HI DMA"
12041,"Gainesville, FL DMA"
18157,"Lafayette, IN DMA"
42109,"Wilkes Barre - Scranton, PA DMA"
48277,"Dallas - Ft. Worth, TX DMA"
12086,"Miami - Ft. Lauderdale, FL DMA"
31057,"Wichita - Hutchinson Plus, KS - NE DMA"
48289,"Waco - Temple - Bryan, TX DMA"
08097,"Denver, CO - NE - NV - WY DMA"
38035,"Fargo - Valley City, ND - MN DMA"
18091,"Chicago, IL - IN DMA"
18057,"Indianapolis, IN DMA"
51595,"Richmond - Petersburg, VA DMA"
40081,"Oklahoma City, OK DMA"
20071,"Wichita - Hutchinson Plus, KS - NE DMA"
13145,"Columbus, GA - AL DMA"
13251,"Savannah, GA - SC DMA"
48433,"Abilene - Sweetwater, TX DMA"
39069,"Toledo, OH - MI DMA"
33009,"Burlington, VT - Plattsburgh, NY DMA"
29145,"Joplin - Pittsburg, MO - KS - OK DMA"
18129,"Evansville, IN - IL - KY DMA"
48311,"San Antonio, TX DMA"
17035,"Champaign - Springfield - Decatur, IL DMA"
13297,"Atlanta, GA - AL - NC DMA"
27121,"Minneapolis - St. Paul, MN - WI DMA"
51157,"Washington, DC - MD - PA - VA - WV DMA"
51009,"Roanoke - Lynchburg, VA - WV DMA"
06111,"Los Angeles, CA DMA"
17033,"Terre Haute, IN - IL DMA"
08093,"Denver, CO - NE - NV - WY DMA"
06037,"Los Angeles, CA DMA"
04027,"Yuma - El Centro, AZ - CA DMA"
13129,"Atlanta, GA - AL - NC DMA"
19025,"Des Moines - Ames, IA - MO DMA"
12055,"Tampa - St. Petersburg - Sarasota, FL DMA"
51580,"Roanoke - Lynchburg, VA - WV DMA"
50017,"Burlington, VT - Plattsburgh, NY DMA"
20113,"Wichita - Hutchinson Plus, KS - NE DMA"
04021,"Phoenix, AZ DMA"
39051,"Toledo, OH - MI DMA"
08003,"Denver, CO - NE - NV - WY DMA"
12017,"Tampa - St. Petersburg - Sarasota, FL DMA"
47041,"Nashville, TN - KY DMA"
42031,"Pittsburgh, PA - MD- WV DMA"
46097,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
46073,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
18031,"Indianapolis, IN DMA"
18037,"Evansville, IN - IL - KY DMA"
51057,"Richmond - Petersburg, VA DMA"
45089,"Charleston, SC DMA"
36031,"Burlington, VT - Plattsburgh, NY DMA"
19195,"Rochester - Mason City - Austin, MN - IA DMA"
40063,"Oklahoma City, OK DMA"
51027,"Tri - Cities, TN - VA - KY DMA"
51005,"Roanoke - Lynchburg, VA - WV DMA"
28087,"Columbus - Tupelo - West Point, MS - AL DMA"
18143,"Louisville, KY - IN DMA"
08099,"Denver, CO - NE - NV - WY DMA"
48435,"San Angelo, TX DMA"
40101,"Tulsa, OK - KS DMA"
29043,"Springfield, MO - AR DMA"
28073,"Hattiesburg - Laurel, MS DMA"
18137,"Cincinnati, OH -IN - KY DMA"
38057,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
13147,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
22049,"Monroe - El Dorado, LA - AR DMA"
51133,"Richmond - Petersburg, VA DMA"
48157,"Houston, TX DMA"
55047,"Green Bay - Appleton, WI - MI DMA"
30073,"Great Falls, MT DMA"
55127,"Milwaukee, WI DMA"
32021,"Reno, NV - CA DMA"
17057,"Peoria - Bloomington, IL DMA"
36103,"New York, NY - CT - NJ - PA DMA"
18161,"Cincinnati, OH -IN - KY DMA"
29119,"Joplin - Pittsburg, MO - KS - OK DMA"
31157,"Cheyenne - Scottsbluff - Sterling, WY - NE DMA"
35047,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
01081,"Columbus, GA - AL DMA"
48367,"Dallas - Ft. Worth, TX DMA"
38021,"Fargo - Valley City, ND - MN DMA"
38003,"Fargo - Valley City, ND - MN DMA"
27143,"Minneapolis - St. Paul, MN - WI DMA"
13293,"Atlanta, GA - AL - NC DMA"
06097,"San Francisco - Oakland - San Jose, CA DMA"
26033,"Traverse City - Cadillac, MI DMA"
16019,"Idaho Falls - Pocatello, ID - WY DMA"
13013,"Atlanta, GA - AL - NC DMA"
13183,"Savannah, GA - SC DMA"
48271,"San Antonio, TX DMA"
40115,"Joplin - Pittsburg, MO - KS - OK DMA"
42033,"Johnstown - Altoona, PA DMA"
26037,"Lansing, MI DMA"
17135,"St. Louis, MO - IL DMA"
28003,"Memphis, TN - AR- MS - MO DMA"
28071,"Memphis, TN - AR- MS - MO DMA"
22043,"Alexandria, LA DMA"
29005,"Omaha, NE - IA - MO DMA"
17115,"Champaign - Springfield - Decatur, IL DMA"
26149,"Grand Rapids - Kalamazoo - Battle Creek, MI DMA"
17055,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
30033,"Billings, MT - ID DMA"
31001,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
27109,"Rochester - Mason City - Austin, MN - IA DMA"
34039,"New York, NY - CT - NJ - PA DMA"
01097,"Mobile, AL - Pensacola, FL - MS DMA"
46087,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
01057,"Birmingham, AL DMA"
01017,"Columbus, GA - AL DMA"
37131,"Raleigh - Durham, NC - VA DMA"
08081,"Denver, CO - NE - NV - WY DMA"
21087,"Louisville, KY - IN DMA"
18047,"Cincinnati, OH -IN - KY DMA"
37013,"Greenville - New Bern - Washington, NC DMA"
38015,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
37159,"Charlotte, NC - SC DMA"
26071,"Marquette, MI DMA"
27067,"Minneapolis - St. Paul, MN - WI DMA"
21237,"Lexington, KY DMA"
48149,"Austin, TX DMA"
46081,"Rapid City, SD - MT - NE - WY DMA"
23029,"Bangor, ME DMA"
48045,"Amarillo, TX -NM - OK DMA"
26131,"Marquette, MI DMA"
28015,"Greenwood - Greenville, MS DMA"
41003,"Eugene, OR DMA"
27133,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
42063,"Pittsburgh, PA - MD- WV DMA"
22061,"Monroe - El Dorado, LA - AR DMA"
42099,"Harrisburg - Lancaster - Lebanon - York, PA DMA"
46137,"Rapid City, SD - MT - NE - WY DMA"
48203,"Shreveport, LA - AR - OK - TX DMA"
26013,"Marquette, MI DMA"
40131,"Tulsa, OK - KS DMA"
29019,"Columbia - Jefferson City, MO DMA"
40015,"Oklahoma City, OK DMA"
08059,"Denver, CO - NE - NV - WY DMA"
54011,"Charleston - Huntington, WV - KY - OH DMA"
48383,"Odessa - Midland, TX DMA"
05141,"Little Rock - Pine Bluff, AR DMA"
08117,"Denver, CO - NE - NV - WY DMA"
20035,"Wichita - Hutchinson Plus, KS - NE DMA"
05071,"Little Rock - Pine Bluff, AR DMA"
36041,"Albany - Schenectady - Troy, NY - MA - VT DMA"
51045,"Roanoke - Lynchburg, VA - WV DMA"
48083,"Abilene - Sweetwater, TX DMA"
02290,"Unmeasured, AK DMA"
04017,"Phoenix, AZ DMA"
28085,"Jackson, MS DMA"
48357,"Amarillo, TX -NM - OK DMA"
48103,"Odessa - Midland, TX DMA"
56003,"Billings, MT - ID DMA"
47081,"Nashville, TN - KY DMA"
28143,"Memphis, TN - AR- MS - MO DMA"
29081,"Kansas City, MO - KS DMA"
18005,"Indianapolis, IN DMA"
13223,"Atlanta, GA - AL - NC DMA"
39015,"Cincinnati, OH -IN - KY DMA"
47141,"Nashville, TN - KY DMA"
38101,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
25027,"Boston, MA - NH DMA"
39091,"Dayton, OH - IN DMA"
06031,"Fresno - Visalia, CA DMA"
06073,"San Diego, CA DMA"
13079,"Macon, GA DMA"
29037,"Kansas City, MO - KS DMA"
36027,"New York, NY - CT - NJ - PA DMA"
48477,"Houston, TX DMA"
08101,"Colorado Springs - Pueblo, CO DMA"
29067,"Springfield, MO - AR DMA"
38009,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
37051,"Raleigh - Durham, NC - VA DMA"
56017,"Casper - Riverton, WY DMA"
26001,"Alpena, MI DMA"
06061,"Sacramento - Stockton - Modesto, CA DMA"
05129,"Little Rock - Pine Bluff, AR DMA"
48305,"Lubbock, TX DMA"
36077,"Utica, NY DMA*"
37153,"Charlotte, NC - SC DMA"
37093,"Raleigh - Durham, NC - VA DMA"
31131,"Omaha, NE - IA - MO DMA"
42023,"Johnstown - Altoona, PA DMA"
45035,"Charleston, SC DMA"
27161,"Minneapolis - St. Paul, MN - WI DMA"
46015,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
47177,"Nashville, TN - KY DMA"
17023,"Terre Haute, IN - IL DMA"
21201,"Cincinnati, OH -IN - KY DMA"
47095,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
45015,"Charleston, SC DMA"
05051,"Little Rock - Pine Bluff, AR DMA"
20139,"Topeka, KS DMA"
39155,"Youngstown, OH - PA DMA"
48333,"Waco - Temple - Bryan, TX DMA"
48359,"Amarillo, TX -NM - OK DMA"
42019,"Pittsburgh, PA - MD- WV DMA"
16049,"Spokane, WA - ID - MT - OR DMA"
20115,"Wichita - Hutchinson Plus, KS - NE DMA"
